beta,Energy,Mx,My,M2x,M2y,M3x,M3y,I,S
1.49,-1121.5,218.5,-4.33013,65.5,-32.0429,64,8.49905e-14,552,20.7846
1.49,-1108.5,187.5,-47.6314,23.5,44.1673,66,6.23345e-14,549,-36.3731
1.49,-1132,-29.5,35.507,-9.5,2.59808,44,4.13931e-14,569,-17.3205
1.49,-1145.5,-112,-6.9282,61,36.3731,8,4.67815e-14,570.5,16.4545
1.49,-833.5,68.5,-28.5788,-114.5,71.8801,-56,6.09874e-14,405,5.19615
1.49,-1192,2.5,42.4352,-24.5,-106.521,70,5.81707e-14,580.5,11.2583
1.49,-1120.5,7,188.794,37,32.909,46,3.36778e-14,561,22.5167
1.49,-993.5,145,-147.224,10,-62.3538,-2,1.05932e-13,501,-3.4641
1.49,-1027,40,-45.0333,10,27.7128,16,6.12323e-14,503.5,19.9186
1.49,-1103.5,132,-138.564,10,-13.8564,114,5.79258e-14,542,-1.73205
1.49,-897.5,-19,126.44,-122,-51.9615,38,3.58822e-14,448,-22.5167
1.49,-768,-115.5,-44.1673,-81.5,75.3442,108,-7.34788e-15,390,6.9282
1.49,-1147,-219,51.9615,64,-43.3013,0,4.92308e-14,570.5,35.507
1.49,-1020,-88.5,148.09,-99.5,-122.11,84,2.93915e-14,518.5,-6.06218
1.49,-886,-135.5,-40.7032,-111.5,193.124,100,-3.62495e-14,439.5,18.1865
1.49,-1027.5,-172.5,-139.43,77.5,111.717,96,7.83774e-15,509.5,16.4545
1.49,-1067,-115.5,284.922,65.5,-82.2724,72,3.18408e-14,536.5,14.7224
1.49,-903,-75.5,174.071,233.5,-71.8801,-2,8.56028e-14,455,1.73205
1.49,-1247,-55,83.1384,-2,-119.512,8,7.2744e-14,631,17.3205
1.49,-1015,-18.5,108.253,-18.5,-0.866025,70,2.92691e-14,504.5,-52.8275
1.49,-1085.5,72,-32.909,-29,-38.1051,24,7.10295e-14,544,-39.8372
1.49,-916.5,-11.5,-21.6506,-0.5,-0.866025,-4,6.41715e-14,459.5,-32.0429
1.49,-1103.5,-115,112.583,34,-38.1051,2,5.22924e-14,554.5,42.4352
1.49,-1024.5,74,31.1769,19,-46.7654,-22,8.8542e-14,506,-19.0526
1.49,-1102.5,-20,19.0526,-35,24.2487,-26,5.74359e-14,553.5,-32.0429
1.49,-1039,-121,10.3923,-8,-53.6936,-10,6.062e-14,526.5,28.5788
1.47,-1105.5,85.5,-99.5929,50.5,18.1865,6,8.07042e-14,573,38.1051
1.47,-1024.5,56.5,-42.4352,-15.5,-103.057,-50,1.07891e-13,519.5,-11.2583
1.47,-943.5,24,55.4256,-68,-96.9948,0,7.39687e-14,485,27.7128
1.47,-1146,79,176.669,16,-43.3013,100,4.04133e-14,579.5,44.1673
1.47,-962.5,-201.5,-205.248,-105.5,97.8609,64,-7.34788e-16,477.5,2.59808
1.47,-1079,-71,-117.779,-122,57.1577,58,1.75124e-14,533.5,38.9711
1.47,-972.5,-69,-84.8705,-53,-15.5885,78,3.31879e-14,479,-12.1244
1.47,-1218,-203,-221.703,-32,39.8372,-20,4.72714e-14,609.5,4.33013
1.47,-1151.5,-167.5,-125.574,89.5,23.3827,-58,7.48259e-14,563,-31.1769
1.47,-1231,-48.5,-38.9711,-12.5,11.2583,-8,5.80483e-14,636,-57.1577
1.47,-1179.5,-49.5,-61.4878,-60.5,101.325,54,1.5553e-14,603,5.19615
1.47,-951,-44.5,71.8801,-3.5,-80.5404,32,5.9028e-14,494,-3.4641
1.47,-879.5,-111.5,-59.7558,23.5,92.6647,34,2.6085e-14,432,-8.66025
1.47,-1018.5,22.5,-120.378,-18.5,21.6506,54,5.05779e-14,502,1.02141e-14
1.47,-926,29,-105.655,67,25.9808,140,3.35553e-14,457.5,14.7224
1.47,-1090.5,97.5,-236.425,-45.5,-84.0045,24,9.62572e-14,548,-20.7846
1.47,-922.5,91,185.329,-122,155.885,-44,2.62074e-14,471,-20.7846
1.47,-1052.5,111.5,132.502,-48.5,-35.507,62,4.95982e-14,534,5.19615
1.47,-1207,204.5,269.334,-117.5,101.325,-64,5.24149e-14,609.5,-30.3109
1.47,-866.5,232,176.669,-44,-69.282,-62,1.06912e-13,432,-3.4641
1.47,-953,131.5,19.9186,44.5,120.378,-8,5.97628e-14,473,-36.3731
1.47,-1331,167,-131.636,64,43.3013,26,8.31535e-14,670,12.1244
1.47,-1103,44.5,-89.2006,143.5,32.0429,34,7.48259e-14,547.5,-40.7032
1.47,-978.5,-125,-150.688,37,5.19615,-50,7.67854e-14,490.5,23.3827
1.47,-1003.5,-80.5,135.966,-144.5,-0.866025,8,2.32683e-14,528,20.7846
1.47,-954.5,-205.5,-236.425,-24.5,137.698,30,1.28588e-14,482.5,-23.3827
1.47,-1251,105,-325.626,-86,-67.55,-60,1.2075e-13,609,-5.19615
1.47,-1081.5,265,105.655,49,95.2628,-14,7.77651e-14,539.5,16.4545
1.47,-1111.5,-45.5,-6.06218,17.5,4.33013,-104,9.06239e-14,553.5,4.33013
1.47,-1115.5,-118.5,82.2724,-66.5,-37.2391,6,4.02909e-14,548,-3.4641
1.47,-1116,-28.5,165.411,-90.5,-44.1673,-6,4.76388e-14,553.5,-26.8468
1.47,-1007,59,-65.8179,25,-65.8179,26,8.36434e-14,505,-2.9976e-15
1.47,-1134.5,31,-84.8705,-59,-64.0859,52,6.29468e-14,552.5,25.1147
1.47,-1111.5,-183,100.459,16,-29.4449,54,2.48603e-14,549.5,-28.5788
1.47,-1149,-249,119.512,58,41.5692,-42,3.49024e-14,575.5,26.8468
1.47,-1176.5,-62,-64.0859,-2,-25.9808,-14,6.91925e-14,593,-12.1244
1.47,-1076.5,-77.5,-108.253,131.5,-66.684,-118,1.27241e-13,547.5,-28.5788
1.47,-1237.5,-143.5,-51.0955,44.5,19.9186,-76,7.32339e-14,622.5,-38.9711
1.47,-1138.5,-44,-171.473,-104,126.44,130,-9.91964e-15,566.5,25.1147
1.47,-1111.5,-74,-74.4782,-56,-46.7654,-2,6.25795e-14,549.5,-11.2583
1.47,-875,70.5,-120.378,-6.5,-71.8801,-60,1.12668e-13,448.5,7.79423
1.47,-1105,124,-121.244,-104,-48.4974,-44,9.74819e-14,576,-3.4641
1.47,-1238,127,-140.296,-2,-86.6025,-128,1.45488e-13,624.5,12.9904
1.47,-881,189.5,-38.9711,-60.5,-33.775,-76,1.11688e-13,457,1.73205
1.47,-965,-1.5,141.162,38.5,-89.2006,-12,7.9847e-14,488,-3.4641
1.47,-1088.5,107.5,12.9904,-15.5,-45.8993,64,6.31918e-14,540,12.1244
1.47,-1202,-64.5,-84.0045,71.5,115.181,30,3.58822e-14,604,-13.8564
1.47,-983.5,31,107.387,16,-53.6936,28,6.36816e-14,485.5,-7.79423
1.47,-1023.5,33.5,182.731,-60.5,35.507,-28,4.75163e-14,509.5,26.8468
1.47,-1013.5,188.5,16.4545,-36.5,-87.4686,28,9.0134e-14,499.5,0.866025
1.47,-1073,263.5,58.0237,194.5,-0.866025,124,7.69078e-14,538,-13.8564
1.47,-1063.5,106.5,187.928,83.5,-19.9186,138,3.46575e-14,511,32.909
1.47,-1122,81,64.0859,-74,34.641,6,4.98431e-14,575,-39.8372
1.47,-1070,-54,50.2295,-125,24.2487,12,2.84118e-14,554,17.3205
1.47,-1147.5,78.5,80.5404,-45.5,78.8083,8,4.18829e-14,577,-57.1577
1.47,-1056,-98.5,2.59808,-72.5,-30.3109,98,1.80023e-14,520.5,-30.3109
1.47,-1047,-78,-74.4782,31,-24.2487,6,6.55186e-14,516.5,2.59808
1.47,-1142.5,2,50.2295,-59,-124.708,-4,7.9847e-14,558.5,30.3109
1.47,-1174.5,58,150.688,-23,-159.349,82,6.50287e-14,571.5,54.5596
1.47,-1155,108,65.8179,52,20.7846,66,5.30272e-14,574.5,33.775
1.47,-1237,116,22.5167,55,142.028,2,5.13127e-14,618.5,14.7224
1.47,-965,203,1.73205,16,41.5692,32,7.07846e-14,471.5,-2.59808
1.47,-1308.5,298.5,-16.4545,164.5,-38.9711,12,1.25159e-13,651,-27.7128
1.47,-996,42,365.463,-245,-96.9948,24,2.52277e-14,491.5,14.7224
1.47,-903.5,207,-138.564,-92,-219.97,-102,1.6447e-13,481,10.3923
1.47,-1092,104.5,-135.966,-15.5,-33.775,-140,1.33242e-13,544.5,6.06218
1.47,-1265.5,102,-214.774,-122,-79.6743,-132,1.32752e-13,620,-29.4449
1.47,-959,-69.5,-168.875,-66.5,-64.9519,-62,9.07463e-14,477.5,6.06218
1.47,-988.5,43.5,174.071,-33.5,11.2583,0,4.92308e-14,508.5,6.06218
1.47,-1071,-17.5,71.8801,-15.5,-85.7365,-64,9.13587e-14,542.5,25.1147
1.47,-816,-16.5,-75.3442,-87.5,-85.7365,0,7.34788e-14,423,-32.909
1.47,-1092,20.5,4.33013,-54.5,28.5788,4,5.09453e-14,547.5,0.866025
1.47,-1173.5,-90,-81.4064,-5,3.4641,108,2.30234e-14,578,12.1244
1.47,-1057,110,-24.2487,43,50.2295,92,4.43322e-14,510,39.8372
1.47,-1289.5,132,-152.42,40,69.282,108,4.67815e-14,616.5,51.0955
1.47,-982.5,146.5,184.463,-33.5,-11.2583,40,5.36395e-14,508.5,-0.866025
1.47,-1197,6,20.7846,-89,-95.2628,48,5.65787e-14,606,-3.4641
1.47,-1109,102,60.6218,55,24.2487,42,5.96403e-14,560,-60.6218
1.47,-979.5,-50,3.555e-14,109,74.4782,88,2.71872e-14,494.5,12.9904
1.47,-1218,-60.5,87.4686,-6.5,-28.5788,76,3.1106e-14,591,-22.5167
1.47,-937,20,-15.5885,-44,-15.5885,38,5.25373e-14,448,-5.19615
1.47,-1113.5,114.5,71.8801,-12.5,-97.8609,2,9.02565e-14,565.5,-0.866025
1.47,-1135.5,-44.5,-149.822,-99.5,-87.4686,-58,9.1971e-14,560.5,-33.775
1.47,-1209.5,37.5,-193.124,-27.5,-193.124,-132,1.58959e-13,607,-13.8564
1.47,-929,-202.5,23.3827,182.5,-42.4352,-36,7.86223e-14,482,-1.73205
1.47,-1113,-38.5,84.0045,-111.5,70.1481,-46,3.75967e-14,578,-31.1769
1.47,-1073.5,27,185.329,-131,-129.904,-30,7.36013e-14,524,-55.4256
1.47,-1275,64.5,186.195,-105.5,-89.2006,-24,7.07846e-14,632,-62.3538
1.47,-1186,-16.5,-21.6506,119.5,87.4686,60,3.99235e-14,581.5,12.9904
1.47,-1317.5,-94,3.4641,-5,-19.0526,32,4.45771e-14,657.5,70.1481
1.47,-1265.5,-122,-25.9808,34,-1.73205,-110,8.78072e-14,621,24.2487
1.47,-1065,-37,100.459,112,-12.1244,-40,7.9602e-14,526,-31.1769
1.47,-1197.5,32,-3.4641,130,-65.8179,2,9.61348e-14,595,-43.3013
1.47,-1111,-1.5,25.1147,29.5,-9.52628,18,6.08649e-14,560,-22.5167
1.47,-1235,66.5,40.7032,47.5,103.057,80,2.74321e-14,608,-17.3205
1.47,-1217,-26,-64.0859,-50,12.1244,106,2.29009e-14,601,1.73205
1.47,-1250,9,36.3731,46,48.4974,108,2.35132e-14,634.5,2.59808
1.47,-1008,-119,27.7128,-83,38.1051,-20,3.40452e-14,462.5,-12.9904
1.47,-1174.5,-182.5,-12.9904,-3.5,-16.4545,-16,4.92308e-14,565.5,21.6506
1.47,-1001.5,-146,-112.583,-68,46.7654,28,2.59625e-14,485,-24.2487
1.47,-1002,-107,-103.923,-101,-45.0333,64,3.4535e-14,497.5,2.59808
1.47,-980,50,-145.492,-23,-64.0859,-52,1.05809e-13,518,-17.3205
1.47,-962,31.5,-7.79423,-9.5,-94.3968,84,6.02526e-14,483.5,6.06218
1.47,-1212,258,-57.1577,1,10.3923,-30,1.05442e-13,590,6.9282
1.47,-1153,300,-38.1051,28,-27.7128,-6,1.1328e-13,575.5,-44.1673
1.47,-1111,404,-20.7846,238,-69.282,152,1.10953e-13,523,-7.21645e-15
1.47,-1023,-279,34.641,-11,-6.9282,36,1.51856e-14,518.5,9.52628
1.47,-961.5,198.5,82.2724,83.5,175.803,26,4.61692e-14,486,29.4449
1.47,-1095.5,161.5,231.229,17.5,-109.985,70,7.01723e-14,544.5,28.5788
1.47,-1226,-170,103.923,-119,25.9808,22,7.71527e-15,628.5,-63.2199
1.47,-1132.5,117,55.4256,-8,25.9808,12,6.29468e-14,565,-27.7128
1.47,-1132,62,-105.655,-56,-39.8372,-40,9.16036e-14,554,-38.1051
1.47,-1077.5,-61,-38.1051,19,-27.7128,56,4.89859e-14,531,-34.641
1.47,-1085.5,3,117.779,-17,3.4641,18,4.64141e-14,528.5,-16.4545
1.47,-1145,-89.5,80.5404,-15.5,61.4878,104,-7.34788e-16,579.5,9.52628
1.47,-1280,-104,45.0333,-35,5.19615,118,5.26598e-15,640.5,25.1147
1.47,-1178,-101.5,141.162,-57.5,-103.057,122,1.77574e-14,587.5,-11.2583
1.47,-979.5,129.5,-49.3634,50.5,-104.789,104,7.86223e-14,471,1.66533e-15
1.47,-1079.5,-19.5,61.4878,119.5,-18.1865,84,4.87409e-14,544,-31.1769
1.47,-839,98,-129.904,-65,17.3205,-46,8.63376e-14,415,-13.8564
1.47,-1213,36.5,-125.574,-27.5,-40.7032,-28,8.98891e-14,573.5,54.5596
1.47,-1168,62,6.9282,31,25.9808,-10,7.1152e-14,575,50.2295
1.47,-1135.5,-71.5,232.961,8.5,6.06218,80,1.27363e-14,560.5,21.6506
1.47,-1179.5,-144.5,-61.4878,113.5,2.59808,-86,8.90318e-14,596,-6.9282
1.47,-1016,42.5,-23.3827,23.5,32.0429,8,6.31918e-14,516,-6.9282
1.47,-1053.5,-47.5,45.8993,-78.5,-19.9186,2,4.76388e-14,529,58.8897
1.47,-1124.5,-78,86.6025,-71,-122.976,36,5.33946e-14,543.5,-2.59808
1.47,-1099.5,104,-45.0333,166,-38.1051,62,8.80521e-14,531,-5.19615
1.47,-1200,44.5,-153.286,-9.5,-89.2006,46,8.26637e-14,604.5,-25.1147
1.47,-1043,1,143.76,-44,107.387,-38,3.61271e-14,534.5,12.9904
1.47,-835.5,-169,25.9808,37,12.1244,-46,5.62113e-14,417,27.7128
1.47,-1014,-307,-29.4449,-2,-90.0666,-40,5.82932e-14,498.5,-37.2391
1.47,-1022.5,-59,57.1577,-83,-29.4449,-8,4.99656e-14,500,24.2487
1.47,-1135,-41,55.4256,37,-90.0666,22,7.06621e-14,582,-5.19615
1.47,-1102,-62.5,-0.866025,-3.5,9.52628,74,3.00038e-14,565.5,42.4352
1.47,-959,-39.5,4.33013,-30.5,14.7224,40,3.84539e-14,485.5,-16.4545
1.47,-1147,48,48.4974,4,1.10356e-13,66,4.54344e-14,580,10.3923
1.47,-924,20.5,26.8468,-36.5,-38.9711,76,4.38424e-14,475.5,-12.9904
1.47,-1082.5,48,155.885,4,-121.244,72,6.17222e-14,532.5,-16.4545
1.47,-1016.5,119.5,-75.3442,68.5,11.2583,16,8.37658e-14,502,-22.5167
1.47,-990,192,-15.5885,106,-71.0141,66,9.51551e-14,478.5,-7.79423
1.47,-1180.5,315.5,-28.5788,227.5,0.866025,134,9.00115e-14,599,-5.44009e-15
1.47,-1012.5,208.5,-73.6122,140.5,28.5788,114,6.96824e-14,495.5,-4.33013
1.47,-916,-32,-209.578,-35,204.382,94,-2.81669e-15,472,3.4641
1.47,-1092,20,-107.387,55,-22.5167,20,7.81325e-14,551,36.3731
1.47,-1238.5,-34.5,-217.372,-27.5,0.866025,30,6.11099e-14,621,-19.0526
1.47,-1160.5,32.5,80.5404,-6.5,0.866025,64,4.04133e-14,584.5,21.6506
1.47,-1217,57,22.5167,31,-36.3731,108,4.65366e-14,613.5,-4.33013
1.47,-1141.5,27.5,54.5596,-0.5,-37.2391,56,5.29047e-14,573.5,0.866025
1.47,-1085.5,5.5,-2.59808,116.5,21.6506,64,5.36395e-14,555.5,12.9904
1.47,-952,146,-192.258,-14,-46.7654,-22,1.09116e-13,490,-12.1244
1.47,-1146,163.5,-302.243,-117.5,-97.8609,-6,1.123e-13,567,45.0333
1.47,-965,151,-136.832,13,-112.583,-20,1.22465e-13,455,3.4641
1.47,-1033.5,75,-258.076,-38,-3.4641,6,8.43782e-14,507,-15.5885
1.47,-1153,106,-159.349,-59,5.19615,-80,1.03115e-13,582,32.909
1.47,-1072,103.5,12.9904,-27.5,-219.104,12,1.13892e-13,525.5,-28.5788
1.47,-951.5,-74,-207.846,-29,91.7987,118,9.18485e-15,457.5,-28.5788
1.47,-857,12,69.282,64,-13.8564,48,5.5354e-14,420,-15.5885
1.47,-1234.5,-169,77.9423,-59,-81.4064,-34,5.69461e-14,596.5,30.3109
1.47,-1153.5,-117,46.7654,31,64.0859,-66,5.54765e-14,563.5,14.7224
1.47,-1072.5,-68,8.66025,121,-41.5692,-80,1.01891e-13,533.5,-0.866025
1.47,-1102,22,-19.0526,43,10.3923,-50,8.5113e-14,561,50.2295
1.47,-1046.5,82,-67.55,85,-31.1769,-92,1.2271e-13,545.5,9.52628
1.47,-1144.5,-110.5,-71.8801,-63.5,146.358,74,-7.22542e-15,591.5,-2.59808
1.47,-1130.5,-107,-102.191,43,143.76,52,1.56755e-14,571,13.8564
1.47,-1280,-168,69.282,-26,69.282,-36,3.03712e-14,637.5,4.33013
1.47,-1185,-160,71.0141,82,-74.4782,-28,7.24991e-14,579.5,-16.4545
1.47,-1040,55,6.9282,46,-60.6218,22,8.07042e-14,521,8.66025
1.47,-1185,111.5,-14.7224,89.5,-123.842,8,1.12178e-13,595,13.8564
1.47,-904,179.5,-80.5404,8.5,-42.4352,-86,1.26751e-13,443,-20.7846
1.47,-1085.5,114.5,-56.2917,-15.5,-2.59808,-22,8.60927e-14,546.5,12.9904
1.47,-1193,64.5,52.8275,-9.5,2.59808,78,4.12706e-14,563,3.4641
1.47,-1197.5,170,-112.583,-14,-133.368,50,1.02748e-13,591.5,-28.5788
1.47,-986.5,130.5,-11.2583,-18.5,-84.0045,-12,9.87065e-14,498,-27.7128
1.47,-1205.5,-4.5,-33.775,5.5,-129.038,-42,1.05442e-13,599.5,-12.9904
1.47,-1114,-7.5,103.057,-120.5,9.52628,48,2.30234e-14,571.5,-9.52628
1.47,-1084.5,131.5,-63.2199,-57.5,44.1673,-56,8.40108e-14,544.5,-14.7224
1.47,-1050.5,86,-8.66025,-50,-50.2295,-40,9.06239e-14,517,12.1244
1.47,-1309.5,168,-31.1769,13,-5.19615,-42,1.01033e-13,650.5,-35.507
1.47,-1105,33,22.5167,-92,-114.315,-42,9.09913e-14,553.5,-28.5788
1.47,-1045.5,195,-77.9423,88,34.641,30,8.63376e-14,548,67.55
1.47,-1184.5,93,-24.2487,1,138.564,6,4.46996e-14,577,32.909
1.47,-926,72,-116.047,-65,90.0666,-54,6.91925e-14,456,-10.3923
1.47,-1093,108,-77.9423,91,62.3538,-24,8.6705e-14,557.5,-12.9904
1.47,-1103.5,-141,8.66025,28,6.9282,-48,6.14773e-14,551,32.909
1.47,-1133,-30.5,-71.8801,-54.5,-35.507,4,6.36816e-14,574,83.1384
1.47,-1114.5,27.5,-103.057,59.5,89.2006,2,6.11099e-14,553.5,-16.4545
1.47,-929,-45,20.7846,46,43.3013,54,3.56372e-14,451.5,0.866025
1.47,-1086.5,182,25.9808,-44,-39.8372,38,7.4581e-14,555,6.9282
1.47,-1102.5,255.5,-28.5788,104.5,-25.1147,8,1.11688e-13,545.5,-23.3827
1.47,-1098.5,-173,-31.1769,22,-19.0526,-62,6.94375e-14,556,-15.5885
1.47,-1171,-7.5,-104.789,-57.5,52.8275,24,4.35974e-14,586,17.3205
1.47,-1091.5,-146.5,66.684,89.5,-90.9327,-4,7.15194e-14,531.5,-6.06218
1.47,-892,-9.5,-179.267,-36.5,-123.842,-98,1.26016e-13,445,20.7846
1.47,-1140.5,161,-117.779,-56,-39.8372,-22,9.90739e-14,573.5,23.3827
1.47,-1082.5,192.5,-129.038,-48.5,-70.1481,-172,1.57e-13,552.5,-0.866025
1.47,-1040,162,24.2487,-80,162.813,-162,8.60927e-14,510,-8.66025
1.47,-1087.5,37,5.19615,-50,6.9282,-26,6.72331e-14,530,-10.3923
1.47,-1010,78.5,-42.4352,-90.5,-38.9711,80,4.80062e-14,488.5,6.06218
1.47,-1296.5,70.5,26.8468,-114.5,-73.6122,-48,8.57253e-14,653.5,-11.2583
1.47,-899,39.5,75.3442,-48.5,-40.7032,-46,7.89897e-14,453.5,-30.3109
1.47,-1111.5,70.5,28.5788,23.5,-96.1288,-90,1.20138e-13,538,-8.66025
1.47,-1102,-35,159.349,49,-10.3923,-38,6.69882e-14,536.5,-16.4545
1.47,-1103.5,-59.5,160.215,11.5,42.4352,-190,9.46652e-14,547.5,2.59808
1.47,-1310.5,-223,285.788,-32,-45.0333,32,1.10218e-14,639.5,4.33013
1.47,-1054,-18.5,161.947,35.5,-44.1673,-8,6.51512e-14,528,-31.1769
1.47,-987,-58,15.5885,1,51.9615,14,3.93112e-14,508,55.4256
1.47,-1097.5,35.5,-80.5404,-24.5,32.0429,52,4.70264e-14,553,-5.19615
1.47,-879,-48.5,-2.59808,-171.5,-16.4545,76,1.61653e-14,439,6.9282
1.47,-977,114,-135.1,-38,-41.5692,42,7.75201e-14,480.5,-9.52628
1.47,-1065.5,-46,-41.5692,-47,57.1577,56,2.49828e-14,551,19.0526
1.47,-1116.5,76.5,-87.4686,14.5,-120.378,0,1.05565e-13,567,-1.73205
1.47,-828,-169,-55.4256,22,-43.3013,62,3.88213e-14,432.5,9.52628
1.47,-1240,-128.5,-122.11,-69.5,68.416,44,1.91045e-14,633.5,-16.4545
1.47,-1261.5,-135,200.918,-14,-143.76,84,3.50249e-14,634,6.9282
1.47,-1154,-85,20.7846,-32,-19.0526,68,3.01263e-14,582.5,2.59808
1.47,-962,-46.5,101.325,-27.5,-47.6314,144,1.24914e-14,507.5,2.59808
1.47,-885,27.5,-106.521,41.5,2.59808,104,4.62916e-14,425.5,11.2583
1.47,-1041.5,37,39.8372,-26,-10.3923,52,4.75163e-14,537.5,2.59808
1.47,-879,-95.5,-232.961,47.5,33.775,-28,7.47035e-14,449.5,-9.52628
1.47,-1295.5,41.5,-182.731,53.5,-77.0763,-104,1.35446e-13,647,8.66025
1.47,-927.5,-35.5,-111.717,92.5,-106.521,-124,1.3814e-13,453.5,18.1865
1.47,-1194,-84,-171.473,-95,34.641,-78,6.94375e-14,614.5,32.0429
1.47,-1081,-126.5,-234.693,-12.5,213.908,52,9.79717e-16,544,-5.19615
1.47,-1129,49.5,297.047,-75.5,33.775,48,1.66552e-14,556,-5.19615
1.47,-1133,22.5,400.97,-87.5,146.358,-210,5.96403e-14,552.5,7.79423
1.47,-916.5,-164,148.956,28,-142.028,22,5.89055e-14,446,-29.4449
1.47,-1095,116.5,212.176,29.5,59.7558,16,4.80062e-14,569,29.4449
1.47,-1138.5,114,147.224,76,39.8372,48,5.24149e-14,559.5,-11.2583
1.47,-1219,169.5,90.9327,86.5,0.866025,-84,1.13157e-13,626.5,56.2917
1.47,-1313.5,200,103.923,-71,-1.73205,-64,9.11137e-14,662.5,61.4878
1.47,-1170.5,27,48.4974,-101,-48.4974,-6,6.23345e-14,574.5,18.1865
1.47,-1187.5,138,109.119,-59,20.7846,-36,7.12744e-14,607,27.7128
1.47,-1083.5,226,38.1051,127,-19.0526,28,9.87065e-14,530,13.8564
1.47,-1069,114,140.296,46,-12.1244,144,3.08611e-14,541,25.9808
1.47,-1174,-5.5,222.569,-30.5,-19.9186,74,2.41255e-14,568.5,44.1673
1.47,-934.5,-24,103.923,115,12.1244,48,4.92308e-14,475,31.1769
1.47,-1219,-223,110.851,1,-17.3205,-22,3.80865e-14,605,12.1244
1.47,-1225.5,-187.5,160.215,-78.5,-189.66,0,5.9028e-14,605,-50.2295
1.47,-1305,-138.5,248.549,-96.5,-224.301,100,3.33104e-14,647.5,35.507
1.47,-1211.5,73,169.741,-71,13.8564,52,3.20857e-14,591.5,16.4545
1.47,-1098,30,-38.1051,-74,62.3538,-6,4.86185e-14,519,12.1244
1.47,-1220.5,61.5,-0.866025,-75.5,99.5929,-102,7.1152e-14,598.5,-0.866025
1.47,-1160.5,-72.5,-14.7224,29.5,-37.2391,-104,9.82167e-14,589.5,9.52628
1.47,-1101.5,35,50.2295,22,-41.5692,-58,9.27058e-14,566.5,16.4545
1.47,-1021.5,-9.5,63.2199,47.5,-64.9519,-26,8.46231e-14,532,5.19615
1.47,-1081,-108,237.291,31,-148.956,18,6.25795e-14,537,-5.19615
1.47,-1151.5,211.5,-89.2006,77.5,-70.1481,18,1.1377e-13,596,29.4449
1.47,-925.5,-66.5,-175.803,-51.5,80.5404,58,2.584e-14,479,-20.7846
1.47,-1135,-146,-46.7654,4,-32.909,40,4.33525e-14,573,12.1244
1.47,-1198,-197,-69.282,40,67.55,4,3.28205e-14,596,-31.1769
1.47,-1135,-79.5,35.507,152.5,-4.33013,12,6.63759e-14,564,-8.66025
1.47,-1248,-2,83.1384,-8,31.1769,-44,6.2457e-14,629,-17.3205
1.47,-941.5,-151,-79.6743,-65,65.8179,104,-3.91887e-15,470.5,12.9904
1.47,-1173.5,-89.5,-12.9904,-123.5,-0.866025,128,-1.46958e-15,603.5,11.2583
1.47,-1183.5,107,-133.368,34,65.8179,182,1.97168e-14,599.5,0.866025
1.47,-1016,-53.5,-66.684,176.5,-9.52628,146,3.9801e-14,519.5,-44.1673
1.47,-1172.5,-74.5,-132.502,92.5,51.0955,80,3.89438e-14,587,-20.7846
1.47,-1012.5,157,-74.4782,10,10.3923,-32,9.60123e-14,507,20.7846
1.47,-1045,236.5,-149.822,-0.5,6.06218,-2,1.01523e-13,510,43.3013
1.47,-1183,-5,-143.76,-89,-1.73205,-140,1.04585e-13,584.5,66.684
1.47,-1127,-195,-34.641,4,-53.6936,-66,7.33563e-14,569,-6.9282
1.47,-1082,34,-107.387,-122,-96.9948,-68,1.00911e-13,554,-45.0333
1.47,-1078,199,-15.5885,-146,-51.9615,-128,1.20505e-13,534,15.5885
1.47,-1121,196,6.9282,64,72.7461,-128,1.17811e-13,575.5,-16.4545
1.47,-1226,143.5,-129.038,-48.5,-30.3109,-158,1.38263e-13,603,17.3205
1.47,-1156,184,-150.688,-113,-152.42,-188,1.7194e-13,588.5,25.1147
1.47,-1185.5,173,-218.238,-146,-209.578,-142,1.69369e-13,585,15.5885
1.47,-1000,-18.5,-137.698,131.5,-77.0763,-152,1.49162e-13,512.5,-0.866025
1.47,-1119.5,132,-221.703,55,-57.1577,30,1.04217e-13,552.5,-0.866025
1.47,-1058,5.5,0.866025,41.5,-101.325,-8,9.23384e-14,526,-1.73205
1.47,-1093,104.5,-37.2391,-39.5,-32.0429,-38,9.1726e-14,552.5,35.507
1.47,-1031.5,-34.5,127.306,-45.5,-146.358,12,7.12744e-14,510,1.73205
1.47,-888.5,185.5,77.0763,137.5,-28.5788,46,8.87869e-14,463.5,54.5596
1.47,-1150.5,243,88.3346,103,-46.7654,48,9.40529e-14,577,5.77316e-15
1.47,-1162.5,17,183.597,-35,-10.3923,-34,6.01302e-14,577.5,19.9186
1.47,-1031,132.5,234.693,-72.5,96.1288,-46,4.71489e-14,513,24.2487
1.47,-1051.5,238,150.688,40,-39.8372,46,8.04593e-14,509.5,9.52628
1.47,-1132,180.5,118.645,23.5,-85.7365,20,9.13587e-14,561.5,-64.9519
1.47,-959,-21.5,-206.98,62.5,113.449,4,5.70685e-14,487,3.88578e-15
1.47,-1002.5,-136,-329.09,-83,143.76,56,1.15117e-14,497.5,2.59808
1.47,-989.5,-16.5,-264.138,-9.5,127.306,102,1.99617e-14,495.5,-7.79423
1.47,-850.5,67.5,-127.306,-18.5,64.9519,-36,7.49484e-14,425,5.19615
1.47,-1228,29,-29.4449,49,8.66025,-52,8.84195e-14,610,27.7128
