beta,Energy,Mx,My,M2x,M2y,M3x,M3y,I,S
1.55,-1034.5,-16.5,64.9519,-36.5,-44.1673,90,3.34329e-14,509,-34.641
1.55,-1140.5,89,-6.9282,37,6.9282,2,7.65404e-14,567,-38.1051
1.55,-936,-121,-81.4064,34,180.133,-28,2.81669e-14,449.5,-11.2583
1.55,-1051,-26,-43.3013,67,45.0333,16,5.63338e-14,533.5,19.9186
1.55,-1102.5,101,-128.172,22,-53.6936,62,7.92346e-14,556.5,-37.2391
1.55,-1133,51,135.1,19,38.1051,18,4.81286e-14,552,-12.1244
1.55,-928,-42.5,132.502,65.5,78.8083,-20,4.55569e-14,468.5,-12.9904
1.55,-1107,167,-24.2487,-8,-36.3731,-22,9.83391e-14,534.5,-49.3634
1.55,-927,7,13.8564,-38,1.73205,16,5.26598e-14,437.5,-30.3109
1.55,-1059,59.5,90.9327,2.5,11.2583,-32,7.12744e-14,526.5,-11.2583
1.55,-1162,16,95.2628,22,39.8372,-116,8.76847e-14,595.5,-4.33013
1.55,-925,-79.5,-153.286,-45.5,-61.4878,-114,1.06177e-13,484,5.19615
1.55,-1195.5,110,100.459,-29,81.4064,-28,5.68236e-14,596.5,44.1673
1.55,-930.5,72.5,-19.9186,-24.5,-23.3827,74,5.22924e-14,490.5,-12.9904
1.55,-975.5,50,-183.597,-2,93.5307,86,3.53923e-14,480.5,-37.2391
1.55,-985,18,65.8179,-8,83.1384,48,2.69422e-14,508,-3.4641
1.55,-1260.5,-27,116.047,55,64.0859,-48,5.9028e-14,609,34.641
1.55,-1091,71.5,116.913,98.5,44.1673,16,6.09874e-14,539.5,44.1673
1.55,-996.5,-2.5,231.229,-51.5,82.2724,-28,3.08611e-14,504,1.73205
1.55,-1093.5,178,185.329,-23,62.3538,-104,8.71949e-14,542,6.9282
1.55,-1199.5,139.5,243.353,-45.5,42.4352,-144,9.20934e-14,625.5,-25.1147
1.55,-1005.5,9.5,-89.2006,-36.5,-66.684,-40,9.20934e-14,498.5,-33.775
1.55,-1130,-96.5,-97.8609,-21.5,116.913,70,8.93992e-15,573.5,-26.8468
1.55,-1225.5,-145,-19.0526,1,-57.1577,38,4.6904e-14,598,-55.4256
1.55,-1225.5,-196.5,-149.822,-24.5,-40.7032,-114,8.97666e-14,633,10.3923
1.55,-1120.5,-191,145.492,79,-10.3923,-110,7.4581e-14,566,6.9282
1.55,-1059,-199.5,-35.507,2.5,115.181,-60,3.50249e-14,523,-24.2487
1.55,-1180.5,-18,-27.7128,-80,-27.7128,6,5.67011e-14,605.5,-16.4545
1.55,-1017,54.5,47.6314,-33.5,-71.8801,2,7.65404e-14,526,5.19615
1.55,-1179.5,49,-71.0141,43,12.1244,34,6.60085e-14,582.5,-30.3109
1.55,-1054,44,93.5307,13,-60.6218,68,5.51091e-14,533,-10.3923
1.55,-1207.5,28.5,14.7224,53.5,7.79423,72,4.80062e-14,611.5,-11.2583
1.55,-1086,50.5,54.5596,-45.5,21.6506,-26,6.28244e-14,534.5,9.52628
1.55,-857,154.5,19.9186,-39.5,-61.4878,24,8.10716e-14,442,8.66025
1.55,-922.5,61,-1.73205,25,-50.2295,-8,8.64601e-14,468.5,-12.9904
1.55,-1111.5,103.5,-174.071,-99.5,58.0237,-18,6.87027e-14,539,-12.1244
1.55,-1193.5,-213.5,101.325,62.5,-73.6122,-8,5.51091e-14,603.5,12.9904
1.55,-1027,83.5,2.59808,83.5,-186.195,-44,1.35936e-13,520.5,2.59808
1.55,-1153.5,111.5,-40.7032,-105.5,87.4686,-4,4.89859e-14,580,-1.73205
1.55,-1041,-48,27.7128,244,5.50671e-14,54,6.82128e-14,539.5,16.4545
1.55,-1045,-53,-1.73205,40,-58.8897,112,3.94336e-14,517.5,4.33013
1.55,-1104.5,-0.5,-130.77,2.5,38.9711,52,4.80062e-14,579,29.4449
1.55,-1089.5,-44,20.7846,13,-43.3013,58,4.88634e-14,571,12.1244
1.55,-1106.5,34,-152.42,-62,55.4256,40,4.60467e-14,573,12.1244
1.55,-1203,-20,-31.1769,-5,50.2295,88,2.4248e-14,588,-13.8564
1.55,-863.5,35,-17.3205,-11,-62.3538,-70,1.01523e-13,419,-3.4641
1.55,-1207.5,133.5,-239.889,-42.5,52.8275,18,7.40911e-14,603.5,-4.33013
1.55,-1234.5,185.5,-187.928,-72.5,-19.9186,-32,1.0385e-13,607.5,-23.3827
1.55,-1150,-82.5,-191.392,-30.5,-9.52628,18,5.89055e-14,579,-12.1244
1.55,-904,152,13.8564,106,207.846,68,2.84118e-14,441.5,-9.52628
1.55,-1210,-180,13.8564,76,-62.3538,102,3.09836e-14,608.5,25.1147
1.55,-1085,79.5,92.6647,62.5,123.842,96,1.78798e-14,552.5,-2.59808
1.55,-1170.5,17.5,284.922,-48.5,75.3442,-104,5.46192e-14,585.5,7.79423
1.55,-1140.5,-114.5,139.43,56.5,-58.0237,-74,8.07042e-14,585,20.7846
1.55,-1133,-80,103.923,103,53.6936,-44,6.02526e-14,567,43.3013
1.55,-1036.5,-124.5,-78.8083,35.5,61.4878,24,3.69843e-14,529.5,25.1147
1.55,-909,88.5,-49.3634,50.5,35.507,12,7.20092e-14,438,6.9282
1.55,-1009,-43.5,47.6314,68.5,-54.5596,6,7.21317e-14,506.5,6.06218
1.55,-1161.5,122.5,-168.875,14.5,-21.6506,4,9.47877e-14,580.5,-16.4545
1.55,-1147.5,289,-145.492,28,32.909,4,1.03605e-13,562,-24.2487
1.55,-1158.5,15.5,-14.7224,86.5,64.9519,32,5.26598e-14,592,-5.19615
1.55,-1225,-66,86.6025,103,-81.4064,-42,9.12362e-14,602.5,44.1673
1.55,-1067.5,77,17.3205,46,-50.2295,-16,9.20934e-14,517.5,-21.6506
1.55,-1077.5,86,-67.55,-92,-105.655,-28,9.77268e-14,526.5,2.59808
1.55,-1096.5,115.5,47.6314,-9.5,30.3109,36,5.48642e-14,550.5,-19.9186
1.55,-1068,-143,136.832,97,-122.976,-62,9.24608e-14,538,-29.4449
1.55,-1137,-20,64.0859,43,3.4641,4,5.9028e-14,568,12.1244
1.55,-1028,10.5,109.985,-120.5,-32.0429,54,3.17184e-14,518,-31.1769
1.55,-1089,-63,117.779,-110,-95.2628,84,2.7677e-14,522,-6.9282
1.55,-976,116,-29.4449,88,-1.73205,68,6.9315e-14,475,-13.8564
1.55,-1213.5,167,64.0859,-119,112.583,-46,5.42519e-14,622.5,-16.4545
1.55,-1133.5,98.5,32.0429,68.5,-18.1865,-116,1.2026e-13,577,7.77156e-16
1.55,-1129,156,-79.6743,28,-34.641,12,9.45427e-14,586,-36.3731
1.55,-1146,-18,-109.119,-41,65.8179,-54,6.57635e-14,547,-29.4449
1.55,-866.5,-35,-93.5307,-20,-25.9808,-44,8.15615e-14,438.5,9.52628
1.55,-1118,-36.5,-85.7365,-33.5,-6.06218,82,3.6372e-14,588.5,-9.52628
1.55,-1072,116,157.617,-17,-72.7461,122,4.17605e-14,533.5,-23.3827
1.55,-1222,180.5,144.626,68.5,84.0045,44,5.16801e-14,602.5,-12.9904
1.55,-1011.5,-130.5,163.679,32.5,-9.52628,36,3.01263e-14,492.5,9.52628
1.55,-1048,49,140.296,-38,121.244,28,1.98393e-14,502,-3.4641
1.55,-1143,267,9.65894e-15,43,-3.4641,-108,1.34466e-13,573.5,-9.52628
1.55,-1018.5,18,265.004,-131,-48.4974,6,3.85764e-14,519.5,35.507
1.55,-1123,88,83.1384,40,10.3923,70,4.88634e-14,549,13.8564
1.55,-1065,-189,19.0526,40,-117.779,-18,7.36013e-14,520,25.9808
1.55,-945,-103.5,142.894,-30.5,-26.8468,6,4.0046e-14,483.5,4.33013
1.55,-1243,68.5,279.726,-69.5,59.7558,-26,3.80865e-14,600,6.9282
1.55,-1109,242.5,264.138,-33.5,113.449,-74,6.82128e-14,535,10.3923
1.55,-1059,305,185.329,-50,100.459,-100,9.0134e-14,513,-19.0526
1.55,-1033,-21.5,122.11,-48.5,0.866025,-128,8.45006e-14,514,-19.0526
1.55,-1133.5,131,164.545,-17,119.512,-100,7.02947e-14,569,13.8564
1.55,-1195,9.5,238.157,-111.5,134.234,-124,4.28626e-14,592.5,-19.9186
1.55,-1027,-126,105.655,70,-39.8372,-24,6.41715e-14,518,20.7846
1.55,-1026,-189.5,0.866025,134.5,-0.866025,-56,7.32339e-14,519,-17.3205
1.55,-1037,6.5,-0.866025,113.5,40.7032,-46,8.29086e-14,515,36.3731
1.55,-1134.5,-95,121.244,-32,-43.3013,-38,5.93954e-14,558,-19.0526
1.55,-1135.5,-115,-41.5692,-80,150.688,-40,2.20436e-14,566,-10.3923
1.55,-1202,-131,145.492,-20,36.3731,-44,3.96786e-14,590.5,-30.3109
1.55,-1297.5,-103.5,163.679,83.5,7.79423,72,2.49828e-14,640,24.2487
1.55,-1055,218,84.8705,-11,-41.5692,-52,1.06789e-13,523.5,45.8993
1.55,-912,64,15.5885,-68,112.583,-98,6.72331e-14,455.5,14.7224
1.55,-963.5,15.5,-56.2917,-9.5,37.2391,-70,8.09492e-14,486,1.73205
1.55,-1122.5,42.5,-111.717,8.5,-44.1673,56,6.90701e-14,572,-45.0333
1.55,-1087.5,152,-46.7654,124,15.5885,92,6.83353e-14,539,-1.73205
1.55,-1062,60.5,-96.1288,59.5,42.4352,32,6.53961e-14,537,-15.5885
1.55,-1058.5,236,-6.9282,97,109.119,68,6.00077e-14,512.5,21.6506
1.55,-989.5,-64,-249.415,-194,48.4974,80,1.3961e-14,480.5,21.6506
1.55,-1207.5,-99,-183.597,-95,162.813,120,-1.93494e-14,598.5,7.79423
1.55,-1193,201,-8.66025,25,-102.191,-30,1.21852e-13,591.5,56.2917
1.55,-1125,115.5,179.267,-84.5,-137.698,54,6.64983e-14,541.5,44.1673
1.55,-1065.5,178.5,236.425,-39.5,19.9186,-6,6.062e-14,528.5,19.9186
1.55,-819,12.5,-4.33013,-228.5,-108.253,50,4.42097e-14,396,-22.5167
1.55,-1191.5,-136,93.5307,-11,-19.0526,50,2.68198e-14,596,-36.3731
1.55,-1098.5,26,41.5692,4,121.244,80,1.32262e-14,536,-19.0526
1.55,-971,-159,-27.7128,10,-5.19615,-36,5.85381e-14,485,-24.2487
1.55,-1200.5,-74.5,191.392,-54.5,-14.7224,32,2.66973e-14,584,19.0526
1.55,-1134,-18.5,-73.6122,-0.5,-113.449,28,8.10716e-14,554.5,-64.9519
1.55,-1102.5,70,-32.909,-74,-91.7987,46,6.99273e-14,546.5,-2.59808
1.55,-1104,128.5,33.775,26.5,-30.3109,76,6.2457e-14,558.5,-16.4545
1.55,-1153.5,79,-116.047,-53,-57.1577,-26,9.41753e-14,589,-1.73205
1.55,-863,104.5,-186.195,-24.5,18.1865,-32,9.16036e-14,436.5,30.3109
1.55,-1013.5,144,-143.76,-17,-27.7128,6,9.24608e-14,509,-5.19615
1.55,-1205,225.5,101.325,86.5,42.4352,26,7.67854e-14,600,12.1244
1.55,-1294,336.5,-23.3827,170.5,-84.0045,116,1.08749e-13,633.5,28.5788
1.55,-975.5,-160.5,37.2391,35.5,52.8275,138,-8.69499e-15,469,-13.8564
1.55,-1130,-2.5,213.908,-45.5,-135.966,146,2.584e-14,557.5,4.33013
1.55,-1227.5,89.5,66.684,92.5,4.33013,142,3.58822e-14,602,-22.5167
1.55,-1108.5,-89.5,148.09,-0.5,-118.645,176,1.24914e-14,552.5,42.4352
1.55,-1105.5,-67.5,-25.1147,11.5,9.52628,66,3.53923e-14,541,-24.2487
1.55,-1188.5,-8.5,-7.79423,-54.5,-19.9186,14,5.54765e-14,581.5,-16.4545
1.55,-1057,-78,202.65,19,3.4641,-54,5.69461e-14,533,24.2487
1.55,-960.5,-168,-209.578,151,-90.0666,-126,1.33119e-13,495,-31.1769
1.55,-1174,-84,-34.641,-32,142.028,-24,2.81669e-14,577.5,-14.7224
1.55,-1104.5,-174,-126.44,10,29.4449,-24,5.26598e-14,549,3.4641
1.55,-1145.5,-40.5,-142.894,-45.5,99.5929,-12,4.48221e-14,579,25.9808
1.55,-981,6.5,-109.985,-57.5,40.7032,-16,6.04976e-14,508.5,-11.2583
1.55,-1125,-112.5,-58.0237,-30.5,103.057,30,1.82472e-14,554.5,14.7224
1.55,-1139.5,101.5,-71.8801,41.5,44.1673,16,7.10295e-14,554,5.19615
1.55,-1126.5,245.5,-26.8468,71.5,12.9904,88,7.37237e-14,545.5,35.507
1.55,-1134,-32,280.592,-173,-36.3731,82,3.67394e-16,552.5,45.8993
1.55,-893,75,1.73205,-155,-247.683,-18,1.10831e-13,462,-8.66025
1.55,-1088,-122.5,-203.516,-141.5,4.33013,26,3.58822e-14,577.5,-42.4352
1.55,-926,94,-29.4449,1,-96.9948,64,7.73977e-14,458,-8.66025
1.55,-1031.5,64,53.6936,94,-5.19615,64,5.97628e-14,526.5,0.866025
1.55,-1006.5,-131,32.909,-26,34.641,-14,3.80865e-14,496.5,4.33013
1.55,-980.5,-151.5,-101.325,-132.5,26.8468,96,6.44894e-29,512,-3.4641
1.55,-1026,-0.5,144.626,32.5,-77.0763,82,4.76388e-14,512,-8.66025
1.55,-982,89.5,16.4545,-129.5,64.9519,4,4.1638e-14,495,-19.0526
1.55,-1246.5,75.5,123.842,-87.5,99.5929,-70,5.27823e-14,623.5,-33.775
1.55,-1251,-83,193.99,-62,91.7987,-86,3.80865e-14,635.5,-30.3109
1.55,-1076.5,-94.5,-33.775,68.5,38.9711,-72,7.56832e-14,549.5,25.1147
1.55,-1083,-15.5,-129.038,35.5,-73.6122,70,6.84578e-14,568.5,-2.59808
1.55,-991,140,-39.8372,34,19.0526,38,7.1152e-14,473,27.7128
1.55,-1196.5,-143,-20.7846,-146,122.976,58,-1.50632e-14,589,8.66025
1.55,-1104,-36,-121.244,-134,31.1769,54,2.73096e-14,545,25.9808
1.55,-1132.5,41,-86.6025,-59,48.4974,-16,6.12323e-14,569,-41.5692
1.55,-1041,165,-107.387,28,-53.6936,-54,1.21852e-13,546.5,-54.5596
1.55,-1029,-119,-195.722,-53,143.76,28,1.64103e-14,536,-31.1769
1.55,-1186,-71.5,-165.411,-57.5,26.8468,74,3.02488e-14,606,-36.3731
1.55,-974.5,-196.5,40.7032,-30.5,-137.698,-24,6.85802e-14,487,17.3205
1.55,-1133,-192,41.5692,85,-84.8705,-72,8.6705e-14,565,12.1244
1.55,-1252.5,-48.5,227.765,-135.5,-104.789,-20,5.24149e-14,620.5,26.8468
1.55,-1076.5,-171.5,210.444,-54.5,-38.9711,70,6.98049e-15,544,-19.0526
1.55,-904.5,-60,86.6025,52,48.4974,48,3.06162e-14,448,13.8564
1.55,-1155,201.5,-54.5596,113.5,-25.1147,-10,1.13525e-13,575.5,9.52628
1.55,-1071.5,-15,-121.244,-38,19.0526,-36,7.17643e-14,501.5,42.4352
1.55,-1236,-35.5,-194.856,-45.5,122.11,8,3.8209e-14,633.5,2.59808
1.55,-1041,148.5,42.4352,146.5,-0.866025,30,8.68275e-14,523.5,-32.0429
1.55,-1070.5,46.5,-33.775,143.5,73.6122,18,6.72331e-14,538,-13.8564
1.55,-1061,-0.5,-142.894,104.5,89.2006,58,4.88634e-14,562.5,11.2583
1.55,-1130,171,-64.0859,187,15.5885,18,1.02258e-13,586,-10.3923
1.55,-1185,-112,19.0526,-59,69.282,80,1.22465e-15,607,15.5885
1.55,-1163.5,-74,10.3923,-128,83.1384,10,1.65327e-14,559.5,-2.59808
1.55,-1203,32,133.368,-83,-41.5692,20,4.97207e-14,577,29.4449
1.55,-909.5,-133.5,94.3968,68.5,-135.966,18,7.13969e-14,466,-13.8564
1.55,-1092.5,-89.5,63.2199,71.5,-12.9904,44,4.53119e-14,540.5,12.9904
1.55,-1206.5,142.5,-32.0429,92.5,73.6122,54,6.15997e-14,615.5,47.6314
1.55,-867,-91.5,264.138,-0.5,-61.4878,84,2.00842e-14,435,5.19615
1.55,-1115.5,143.5,180.999,5.5,-35.507,58,5.79258e-14,555.5,-51.0955
1.55,-1107.5,-72.5,269.334,-96.5,-89.2006,10,3.88213e-14,573.5,-26.8468
1.55,-1014.5,27.5,-80.5404,-48.5,42.4352,26,4.88634e-14,496.5,-6.06218
1.55,-1134,178,-173.205,-17,-129.904,-128,1.61408e-13,569,32.909
1.55,-1213,148,142.028,-47,57.1577,-56,7.00498e-14,596,13.8564
1.55,-973,61.5,-257.21,-150.5,-16.4545,-60,9.18485e-14,494.5,16.4545
1.55,-1128,-10.5,-158.483,-48.5,106.521,-48,5.8783e-14,575.5,-9.52628
1.55,-1248,-77,-199.186,-56,90.0666,4,4.01684e-14,625,-15.5885
1.55,-914.5,183,209.578,37,129.904,-30,5.64562e-14,455.5,35.507
1.55,-1110,-248,38.1051,40,-41.5692,-98,7.33563e-14,551.5,23.3827
1.55,-1172,-24.5,293.583,-66.5,11.2583,-98,5.84157e-14,579.5,51.0955
1.55,-880,-37,140.296,-92,-83.1384,8,5.217e-14,426.5,26.8468
1.55,-1086,-41.5,215.64,-24.5,-58.0237,-22,5.84157e-14,561,15.5885
1.55,-1106.5,185,-22.5167,100,-24.2487,-16,1.09238e-13,563,34.641
1.55,-919.5,-75,24.2487,-218,-64.0859,72,1.66552e-14,460,34.641
1.55,-1153.5,-48,91.7987,25,-117.779,132,3.79641e-14,569.5,16.4545
1.55,-950,-22,50.2295,-53,-3.4641,26,4.27402e-14,477.5,6.06218
1.55,-1158.5,-173.5,47.6314,128.5,14.7224,-94,7.94796e-14,573.5,-42.4352
1.55,-971.5,78.5,96.1288,50.5,-75.3442,-4,8.89094e-14,466,-3.4641
1.55,-1270,-59.5,68.416,-195.5,-58.0237,86,1.26139e-14,624,13.8564
1.55,-1225.5,-9,176.669,-71,155.885,84,-1.83697e-14,608,-15.5885
1.55,-1056,154.5,236.425,89.5,42.4352,30,5.76809e-14,509.5,7.79423
1.55,-1045.5,-61.5,-172.339,-90.5,90.9327,60,1.86146e-14,535,6.9282
1.55,-1073.5,-23.5,-135.966,71.5,165.411,80,1.86146e-14,563,32.909
1.55,-1168.5,22,-121.244,-29,71.0141,52,3.94336e-14,594.5,33.775
1.55,-1131.5,-92,15.5885,58,36.3731,94,2.09415e-14,560.5,11.2583
1.55,-1038,-171,-142.028,-41,110.851,90,-4.28626e-15,519.5,2.59808
1.55,-1146,262,-109.119,88,-157.617,76,1.23444e-13,560,17.3205
1.55,-1057.5,223.5,12.9904,101.5,-26.8468,90,7.97245e-14,537,15.5885
1.55,-949,17,-200.918,-158,119.512,212,-3.06162e-14,486,-17.3205
